time,x,y,z,roll,pitch,yaw,linx,liny,linz,angx,angy,angz,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1762203440.115453,-0.001953,-0.024161,1.022670,0.008490,-0.006641,-2.710165,-0.010718,-0.017340,0.039940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.148789,-0.001839,-0.023027,1.024387,0.008490,-0.006641,-2.710165,-0.009382,-0.015927,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.182110,-0.001839,-0.023027,1.024387,0.008490,-0.006641,-2.710165,-0.009382,-0.015927,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.215455,-0.001709,-0.021751,1.026317,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.248759,-0.001594,-0.020615,1.028036,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.282117,-0.001594,-0.020615,1.028036,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.315491,-0.001594,-0.020615,1.028036,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.348786,-0.001456,-0.019245,1.030109,0.007960,-0.006605,-2.711235,-0.009365,-0.015937,0.027830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.382106,-0.001418,-0.018406,1.031342,0.010518,-0.006709,-2.709511,-0.006596,-0.012775,0.021098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.415502,-0.001418,-0.018406,1.031342,0.010518,-0.006709,-2.709511,-0.006596,-0.012775,0.021098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.448777,-0.001375,-0.017444,1.032754,0.010518,-0.006709,-2.709511,-0.006596,-0.012775,0.021098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.482164,-0.001375,-0.017444,1.032754,0.010518,-0.006709,-2.709511,-0.006596,-0.012775,0.021098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.515455,-0.001289,-0.016486,1.033414,0.010518,-0.006709,-2.709511,-0.007701,-0.013398,0.010588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.548823,-0.001289,-0.016486,1.033414,0.010518,-0.006709,-2.709511,-0.007701,-0.013398,0.010588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.582093,-0.001192,-0.015404,1.034158,0.008859,-0.006768,-2.710815,-0.007684,-0.013408,0.010588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.615558,-0.001192,-0.015404,1.034158,0.008859,-0.006768,-2.710815,-0.007684,-0.013408,0.010588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.648865,-0.001192,-0.015404,1.034158,0.008859,-0.006768,-2.710815,-0.007684,-0.013408,0.010588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.682079,-0.001091,-0.014284,1.034928,0.008859,-0.006768,-2.710815,-0.007684,-0.013408,0.010588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.715439,-0.001091,-0.014284,1.034928,0.008859,-0.006768,-2.710815,-0.007684,-0.013408,0.010588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.748737,-0.001151,-0.013322,1.035681,0.008859,-0.006768,-2.710815,-0.005482,-0.014188,0.011879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.782101,-0.001191,-0.012686,1.036179,0.009592,-0.006885,-2.710357,-0.005488,-0.014185,0.011879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.815405,-0.001191,-0.012686,1.036179,0.009592,-0.006885,-2.710357,-0.005488,-0.014185,0.011879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.848769,-0.001191,-0.012686,1.036179,0.009592,-0.006885,-2.710357,-0.005488,-0.014185,0.011879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762203440.882088,-0.001281,-0.011241,1.037309,0.009592,-0.006885,-2.710357,-0.005488,-0.014185,0.011879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
